,App Id,All Permissions,App Name,Category,Rating,Rating Count,Installs,Minimum Installs,Maximum Installs,Free,Price,Currency,Size,Minimum Android,Developer Id,Developer Website,Developer Email,Released,Last Updated,Content Rating,Privacy Policy,Ad Supported,In App Purchases,Editors Choice,Scraped Time
0,com.google.android.apps.messaging,"[{'permission': 'modify or delete the contents of your USB storage', 'type': 'Photos/Media/Files'}, {'permission': 'read the contents of your USB storage', 'type': 'Photos/Media/Files'}, {'permission': 'record audio', 'type': 'Microphone'}, {'permission': 'find accounts on the device', 'type': 'Identity'}, {'permission': 'read your own contact card', 'type': 'Identity'}, {'permission': 'add or remove accounts', 'type': 'Identity'}, {'permission': 'modify or delete the contents of your USB storage', 'type': 'Storage'}, {'permission': 'read the contents of your USB storage', 'type': 'Storage'}, {'permission': 'precise location (GPS and network-based)', 'type': 'Location'}, {'permission': 'approximate location (network-based)', 'type': 'Location'}, {'permission': 'read your text messages (SMS or MMS)', 'type': 'SMS'}, {'permission': 'receive text messages (MMS)', 'type': 'SMS'}, {'permission': 'send SMS messages', 'type': 'SMS'}, {'permission': 'edit your text messages (SMS or MMS)', 'type': 'SMS'}, {'permission': 'receive text messages (SMS)', 'type': 'SMS'}, {'permission': 'receive text messages (WAP)', 'type': 'SMS'}, {'permission': 'read phone status and identity', 'type': 'Device ID & call information'}, {'permission': 'modify your contacts', 'type': 'Contacts'}, {'permission': 'find accounts on the device', 'type': 'Contacts'}, {'permission': 'read your contacts', 'type': 'Contacts'}, {'permission': 'take pictures and videos', 'type': 'Camera'}, {'permission': 'modify phone state', 'type': 'Phone'}, {'permission': 'directly call phone numbers', 'type': 'Phone'}, {'permission': 'read phone status and identity', 'type': 'Phone'}, {'permission': 'change network connectivity', 'type': 'Other'}, {'permission': 'run at startup', 'type': 'Other'}, {'permission': 'prevent device from sleeping', 'type': 'Other'}, {'permission': 'read Google service configuration', 'type': 'Other'}, {'permission': 'control vibration', 'type': 'Other'}, {'permission': 'measure app storage space', 'type': 'Other'}, {'permission': 'full network access', 'type': 'Other'}, {'permission': 'view network connections', 'type': 'Other'}]",Messages,Communication,4.4,5305758.0,"1,000,000,000+",1000000000.0,1931517750,True,0.0,USD,Varies with device,Varies with device,Google LLC,http://www.google.com/mobile/android/,apps-help@google.com,"Nov 12, 2014","Jun 10, 2021",Everyone,http://www.google.com/policies/privacy,False,False,False,2021-06-16 06:11:32
1,com.cardinalblue.piccollage.google,"[{'permission': 'modify or delete the contents of your USB storage', 'type': 'Storage'}, {'permission': 'read the contents of your USB storage', 'type': 'Storage'}, {'permission': 'retrieve running apps', 'type': 'Device & app history'}, {'permission': 'modify or delete the contents of your USB storage', 'type': 'Photos/Media/Files'}, {'permission': 'read the contents of your USB storage', 'type': 'Photos/Media/Files'}, {'permission': 'find accounts on the device', 'type': 'Identity'}, {'permission': 'find accounts on the device', 'type': 'Contacts'}, {'permission': 'control vibration', 'type': 'Other'}, {'permission': 'set an alarm', 'type': 'Other'}, {'permission': 'full network access', 'type': 'Other'}, {'permission': 'prevent device from sleeping', 'type': 'Other'}, {'permission': 'read Google service configuration', 'type': 'Other'}, {'permission': 'view network connections', 'type': 'Other'}]",PicCollage - Create & Celebrate!,Photography,4.6,1574385.0,"50,000,000+",50000000.0,89402935,True,0.0,USD,Varies with device,Varies with device,"Cardinal Blue Software, Inc.",http://pic-collage.com/,support@piccollage.com,"Jun 7, 2012","Jun 07, 2021",Everyone,http://cardinalblue.com/privacy,True,True,False,2021-06-16 05:29:28
2,com.melesta.coffeeshop,"[{'permission': 'view Wi-Fi connections', 'type': 'Wi-Fi connection information'}, {'permission': 'read the contents of your USB storage', 'type': 'Storage'}, {'permission': 'modify or delete the contents of your USB storage', 'type': 'Storage'}, {'permission': 'read the contents of your USB storage', 'type': 'Photos/Media/Files'}, {'permission': 'modify or delete the contents of your USB storage', 'type': 'Photos/Media/Files'}, {'permission': 'control vibration', 'type': 'Other'}, {'permission': 'view network connections', 'type': 'Other'}, {'permission': 'full network access', 'type': 'Other'}, {'permission': 'prevent device from sleeping', 'type': 'Other'}, {'permission': 'Google Play license check', 'type': 'Other'}, {'permission': 'run at startup', 'type': 'Other'}]",My Cafe — Restaurant Game. Serve & Manage,Casual,4.5,258455.0,"50,000,000+",50000000.0,78114532,True,0.0,USD,41M,4.4 and up,Melsoft Games Ltd,https://legal.melsoft-games.com/,support@melsoft-games.mail.helpshift.com,"May 25, 2016","Jun 10, 2021",Teen,https://www.moonactive.com/privacy-policy/,True,True,False,2021-06-16 10:41:36
3,tunein.player,"[{'permission': 'read the contents of your USB storage', 'type': 'Photos/Media/Files'}, {'permission': 'modify or delete the contents of your USB storage', 'type': 'Photos/Media/Files'}, {'permission': 'precise location (GPS and network-based)', 'type': 'Location'}, {'permission': 'approximate location (network-based)', 'type': 'Location'}, {'permission': 'read the contents of your USB storage', 'type': 'Storage'}, {'permission': 'modify or delete the contents of your USB storage', 'type': 'Storage'}, {'permission': 'pair with Bluetooth devices', 'type': 'Other'}, {'permission': 'view network connections', 'type': 'Other'}, {'permission': 'full network access', 'type': 'Other'}, {'permission': 'prevent device from sleeping', 'type': 'Other'}, {'permission': 'create accounts and set passwords', 'type': 'Other'}, {'permission': 'run at startup', 'type': 'Other'}]","TuneIn Radio: News, Sports & Online Music Stations",Music & Audio,4.5,1892962.0,"100,000,000+",100000000.0,158758429,True,0.0,USD,Varies with device,Varies with device,TuneIn Inc,http://tunein.com/support/android/,android-support@tunein.com,"Sep 2, 2010","Jun 14, 2021",Teen,http://tunein.com/policies/privacy/,True,True,True,2021-06-16 13:49:26
4,com.alien.shooter.galaxy.attack,"[{'permission': 'view Wi-Fi connections', 'type': 'Wi-Fi connection information'}, {'permission': 'control vibration', 'type': 'Other'}, {'permission': 'view network connections', 'type': 'Other'}, {'permission': 'full network access', 'type': 'Other'}, {'permission': 'prevent device from sleeping', 'type': 'Other'}, {'permission': 'run at startup', 'type': 'Other'}]",Galaxy Attack: Alien Shooter,Arcade,4.6,404551.0,"100,000,000+",100000000.0,151557110,True,0.0,USD,99M,4.4 and up,ONESOFT,https://abigames.com.vn,feedback@abigames.com.vn,"Oct 22, 2016","Jun 12, 2021",Everyone,https://www.abigames.com.vn/policy,True,True,False,2021-06-16 12:17:52
5,com.yandex.browser,"[{'permission': 'directly call phone numbers', 'type': 'Phone'}, {'permission': 'modify or delete the contents of your USB storage', 'type': 'Photos/Media/Files'}, {'permission': 'read the contents of your USB storage', 'type': 'Photos/Media/Files'}, {'permission': 'modify your contacts', 'type': 'Contacts'}, {'permission': 'find accounts on the device', 'type': 'Contacts'}, {'permission': 'read your contacts', 'type': 'Contacts'}, {'permission': 'modify or delete the contents of your USB storage', 'type': 'Storage'}, {'permission': 'read the contents of your USB storage', 'type': 'Storage'}, {'permission': 'view Wi-Fi connections', 'type': 'Wi-Fi connection information'}, {'permission': 'find accounts on the device', 'type': 'Identity'}, {'permission': 'add or remove accounts', 'type': 'Identity'}, {'permission': 'record audio', 'type': 'Microphone'}, {'permission': 'take pictures and videos', 'type': 'Camera'}, {'permission': 'read your Web bookmarks and history', 'type': 'Device & app history'}, {'permission': 'precise location (GPS and network-based)', 'type': 'Location'}, {'permission': 'approximate location (network-based)', 'type': 'Location'}, {'permission': 'prevent device from sleeping', 'type': 'Other'}, {'permission': 'read sync settings', 'type': 'Other'}, {'permission': 'run at startup', 'type': 'Other'}, {'permission': 'draw over other apps', 'type': 'Other'}, {'permission': 'install shortcuts', 'type': 'Other'}, {'permission': 'control flashlight', 'type': 'Other'}, {'permission': 'uninstall shortcuts', 'type': 'Other'}, {'permission': 'modify system settings', 'type': 'Other'}, {'permission': 'create accounts and set passwords', 'type': 'Other'}, {'permission': 'connect and disconnect from Wi-Fi', 'type': 'Other'}, {'permission': 'control vibration', 'type': 'Other'}, {'permission': 'pair with Bluetooth devices', 'type': 'Other'}, {'permission': 'toggle sync on and off', 'type': 'Other'}, {'permission': 'full network access', 'type': 'Other'}, {'permission': 'set wallpaper', 'type': 'Other'}, {'permission': 'use accounts on the device', 'type': 'Other'}, {'permission': 'set an alarm', 'type': 'Other'}, {'permission': 'change your audio settings', 'type': 'Other'}, {'permission': 'view network connections', 'type': 'Other'}]",Yandex Browser with Protect,Personalization,4.4,9991.0,"100,000,000+",100000000.0,151196658,True,0.0,USD,Varies with device,5.0 and up,Yandex Apps,http://www.yandex.ru,mbrowser@support.yandex.ru,"Jun 17, 2013","Jun 09, 2021",Everyone,https://yandex.ru/legal/confidential/,True,False,False,2021-06-16 10:02:48
6,com.psafe.msuite,"[{'permission': 'find accounts on the device', 'type': 'Identity'}, {'permission': 'read the contents of your USB storage', 'type': 'Storage'}, {'permission': 'modify or delete the contents of your USB storage', 'type': 'Storage'}, {'permission': 'view Wi-Fi connections', 'type': 'Wi-Fi connection information'}, {'permission': 'read phone status and identity', 'type': 'Device ID & call information'}, {'permission': 'precise location (GPS and network-based)', 'type': 'Location'}, {'permission': 'approximate location (network-based)', 'type': 'Location'}, {'permission': 'read the contents of your USB storage', 'type': 'Photos/Media/Files'}, {'permission': 'modify or delete the contents of your USB storage', 'type': 'Photos/Media/Files'}, {'permission': 'read phone status and identity', 'type': 'Phone'}, {'permission': ""add or modify calendar events and send email to guests without owners' knowledge"", 'type': 'Calendar'}, {'permission': 'read calendar events plus confidential information', 'type': 'Calendar'}, {'permission': 'take pictures and videos', 'type': 'Camera'}, {'permission': 'find accounts on the device', 'type': 'Contacts'}, {'permission': 'modify your contacts', 'type': 'Contacts'}, {'permission': 'read your contacts', 'type': 'Contacts'}, {'permission': 'read sensitive log data', 'type': 'Device & app history'}, {'permission': 'read your Web bookmarks and history', 'type': 'Device & app history'}, {'permission': 'retrieve running apps', 'type': 'Device & app history'}, {'permission': 'run at startup', 'type': 'Other'}, {'permission': 'full network access', 'type': 'Other'}, {'permission': 'draw over other apps', 'type': 'Other'}, {'permission': 'expand/collapse status bar', 'type': 'Other'}, {'permission': 'control vibration', 'type': 'Other'}, {'permission': 'read battery statistics', 'type': 'Other'}, {'permission': 'install shortcuts', 'type': 'Other'}, {'permission': 'prevent device from sleeping', 'type': 'Other'}, {'permission': 'pair with Bluetooth devices', 'type': 'Other'}, {'permission': 'delete all app cache data', 'type': 'Other'}, {'permission': 'read sync settings', 'type': 'Other'}, {'permission': 'uninstall shortcuts', 'type': 'Other'}, {'permission': 'connect and disconnect from Wi-Fi', 'type': 'Other'}, {'permission': 'modify system settings', 'type': 'Other'}, {'permission': 'create accounts and set passwords', 'type': 'Other'}, {'permission': 'toggle sync on and off', 'type': 'Other'}, {'permission': 'view network connections', 'type': 'Other'}, {'permission': 'access Bluetooth settings', 'type': 'Other'}, {'permission': 'close other apps', 'type': 'Other'}, {'permission': 'change your audio settings', 'type': 'Other'}, {'permission': 'measure app storage space', 'type': 'Other'}, {'permission': 'use accounts on the device', 'type': 'Other'}, {'permission': 'read Google service configuration', 'type': 'Other'}, {'permission': 'change network connectivity', 'type': 'Other'}]","dfndr security: antivirus, anti-hacking & cleaner",Tools,4.5,5930425.0,"100,000,000+",100000000.0,193099549,True,0.0,USD,38M,5.0 and up,PSafe,http://www.psafe.com/,support@psafe.com,"Dec 12, 2013","Jun 03, 2021",Everyone,http://www.psafe.com/privacy-policy/,True,True,False,2021-06-16 10:57:19
7,ru.mail.mailapp,"[{'permission': 'read call log', 'type': 'Phone'}, {'permission': 'directly call phone numbers', 'type': 'Phone'}, {'permission': 'read phone status and identity', 'type': 'Phone'}, {'permission': 'find accounts on the device', 'type': 'Identity'}, {'permission': 'add or remove accounts', 'type': 'Identity'}, {'permission': 'precise location (GPS and network-based)', 'type': 'Location'}, {'permission': 'approximate location (network-based)', 'type': 'Location'}, {'permission': 'take pictures and videos', 'type': 'Camera'}, {'permission': 'view Wi-Fi connections', 'type': 'Wi-Fi connection information'}, {'permission': 'read phone status and identity', 'type': 'Device ID & call information'}, {'permission': 'modify or delete the contents of your USB storage', 'type': 'Storage'}, {'permission': 'read the contents of your USB storage', 'type': 'Storage'}, {'permission': 'modify your contacts', 'type': 'Contacts'}, {'permission': 'find accounts on the device', 'type': 'Contacts'}, {'permission': 'read your contacts', 'type': 'Contacts'}, {'permission': 'modify or delete the contents of your USB storage', 'type': 'Photos/Media/Files'}, {'permission': 'read the contents of your USB storage', 'type': 'Photos/Media/Files'}, {'permission': 'record audio', 'type': 'Microphone'}, {'permission': 'pair with Bluetooth devices', 'type': 'Other'}, {'permission': 'change network connectivity', 'type': 'Other'}, {'permission': 'control vibration', 'type': 'Other'}, {'permission': 'install shortcuts', 'type': 'Other'}, {'permission': 'create accounts and set passwords', 'type': 'Other'}, {'permission': 'run at startup', 'type': 'Other'}, {'permission': 'set an alarm', 'type': 'Other'}, {'permission': 'prevent device from sleeping', 'type': 'Other'}, {'permission': 'modify system settings', 'type': 'Other'}, {'permission': 'read sync settings', 'type': 'Other'}, {'permission': 'change your audio settings', 'type': 'Other'}, {'permission': 'use accounts on the device', 'type': 'Other'}, {'permission': 'full network access', 'type': 'Other'}, {'permission': 'toggle sync on and off', 'type': 'Other'}, {'permission': 'view network connections', 'type': 'Other'}]",Mail.ru - Email App,Communication,4.5,1253119.0,"50,000,000+",50000000.0,91437925,True,0.0,USD,83M,5.0 and up,Mail.Ru Group,http://e.mail.ru/app,mailapps@corp.mail.ru,"Jul 18, 2012","Jun 07, 2021",Everyone,https://help.mail.ru/mail-help/UA,True,False,False,2021-06-16 09:18:44
8,com.hcg.cok.gp,"[{'permission': 'view Wi-Fi connections', 'type': 'Wi-Fi connection information'}, {'permission': 'read phone status and identity', 'type': 'Device ID & call information'}, {'permission': 'read the contents of your USB storage', 'type': 'Photos/Media/Files'}, {'permission': 'modify or delete the contents of your USB storage', 'type': 'Photos/Media/Files'}, {'permission': 'find accounts on the device', 'type': 'Contacts'}, {'permission': 'retrieve running apps', 'type': 'Device & app history'}, {'permission': 'read sensitive log data', 'type': 'Device & app history'}, {'permission': 'read the contents of your USB storage', 'type': 'Storage'}, {'permission': 'modify or delete the contents of your USB storage', 'type': 'Storage'}, {'permission': 'find accounts on the device', 'type': 'Identity'}, {'permission': 'read phone status and identity', 'type': 'Phone'}, {'permission': 'precise location (GPS and network-based)', 'type': 'Location'}, {'permission': 'approximate location (network-based)', 'type': 'Location'}, {'permission': 'record audio', 'type': 'Microphone'}, {'permission': 'view network connections', 'type': 'Other'}, {'permission': 'prevent device from sleeping', 'type': 'Other'}, {'permission': 'disable your screen lock', 'type': 'Other'}, {'permission': 'run at startup', 'type': 'Other'}, {'permission': 'control vibration', 'type': 'Other'}, {'permission': 'mock location sources for testing', 'type': 'Other'}, {'permission': 'full network access', 'type': 'Other'}, {'permission': 'change your audio settings', 'type': 'Other'}, {'permission': 'connect and disconnect from Wi-Fi', 'type': 'Other'}, {'permission': 'modify system settings', 'type': 'Other'}, {'permission': 'read Google service configuration', 'type': 'Other'}, {'permission': 'use accounts on the device', 'type': 'Other'}]",Clash of Kings : Newly Presented Knight System,Strategy,4.1,2317703.0,"50,000,000+",50000000.0,94989734,True,0.0,USD,144M,4.0.3 and up,Elex Wireless,http://cok.elex.com/en/,cok@elex.com,"Jun 30, 2014","Jun 09, 2021",Teen,https://cok.elex-tech.com/privacy.html,True,True,False,2021-06-15 22:11:17
9,com.microsoft.office.officehubrow,"[{'permission': 'read the contents of your USB storage', 'type': 'Storage'}, {'permission': 'modify or delete the contents of your USB storage', 'type': 'Storage'}, {'permission': 'record audio', 'type': 'Microphone'}, {'permission': 'read the contents of your USB storage', 'type': 'Photos/Media/Files'}, {'permission': 'modify or delete the contents of your USB storage', 'type': 'Photos/Media/Files'}, {'permission': 'view Wi-Fi connections', 'type': 'Wi-Fi connection information'}, {'permission': 'find accounts on the device', 'type': 'Contacts'}, {'permission': 'read your contacts', 'type': 'Contacts'}, {'permission': 'read phone status and identity', 'type': 'Device ID & call information'}, {'permission': 'precise location (GPS and network-based)', 'type': 'Location'}, {'permission': 'read phone status and identity', 'type': 'Phone'}, {'permission': 'read sensitive log data', 'type': 'Device & app history'}, {'permission': 'find accounts on the device', 'type': 'Identity'}, {'permission': 'add or remove accounts', 'type': 'Identity'}, {'permission': 'take pictures and videos', 'type': 'Camera'}, {'permission': 'Google Play license check', 'type': 'Other'}, {'permission': 'connect and disconnect from Wi-Fi', 'type': 'Other'}, {'permission': 'pair with Bluetooth devices', 'type': 'Other'}, {'permission': 'create accounts and set passwords', 'type': 'Other'}, {'permission': 'control vibration', 'type': 'Other'}, {'permission': 'run at startup', 'type': 'Other'}, {'permission': 'draw over other apps', 'type': 'Other'}, {'permission': 'prevent device from sleeping', 'type': 'Other'}, {'permission': 'measure app storage space', 'type': 'Other'}, {'permission': 'access Bluetooth settings', 'type': 'Other'}, {'permission': 'view network connections', 'type': 'Other'}, {'permission': 'use accounts on the device', 'type': 'Other'}, {'permission': 'change your audio settings', 'type': 'Other'}, {'permission': 'full network access', 'type': 'Other'}]","Microsoft Office: Word, Excel, PowerPoint & More",Productivity,4.3,342250.0,"100,000,000+",100000000.0,374936237,True,0.0,USD,Varies with device,Varies with device,Microsoft Corporation,https://products.office.com,offandfb@microsoft.com,"Feb 16, 2020","May 20, 2021",Everyone,http://go.microsoft.com/fwlink/?LinkID=507380,False,True,False,2021-06-16 04:45:33
